"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"243" 5600008 0 1 1 6 0 1.8905 -0.6913 -0.7823 1.4827 1.8415 1.1793 0.8501 1.4021 -1.5447 -0.6576 0 250 200 350 630.074 686.278 671.878 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"244" 5600008 0 1 0 6 0 1.3423 0.3018 0.2907 0.178 -1.8696 0.0477 0.6212 0.7325 1.314 1.0346 0 200 200 150 447.925 451.377 439.918 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"245" 5600008 1 3 2 6 1 1.1422 -0.4687 1.1928 1.2906 1.8415 0.0477 0.5157 1.4944 -0.4377 -0.6576 2 250 200 150 492.401 477.34 585.193 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"246" 5600008 1 3 0 6 0 -0.4342 -0.9836 -0.7823 0.5625 0.3153 0.0477 0.1556 1.2313 -0.1605 -0.6576 0 200 200 300 674.806 650.371 727.17 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"247" 5600008 1 1 1 6 0 -1.4242 -0.7042 1.1211 1.2394 0.0181 1.1793 3.463 1.3951 -1.1408 1.0346 1 250 200 300 550.1 497.412 557.773 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"248" 5600008 1 3 0 6 0 0.1097 0.4846 0.7703 1.195 0.4713 1.1793 1.2889 1.1226 -0.3673 -0.6576 1 200 200 150 621.993 700.277 724.855 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"249" 5600008 0 3 0 4 0 -1.1597 -0.3184 0.1462 0.7046 1.3903 0.0477 -0.1337 -0.5104 0.1694 0.2127 0 200 250 150 643.092 648.247 563.309 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"250" 5600008 1 1 1 6 0 -1.4242 -0.5582 1.5436 0.0472 -0.7708 0.1806 0.6171 0.6099 -1.1481 -1.3914 0 250 200 300 540.86 588.384 531.474 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"251" 5600008 0 1 0 4 0 1.0671 -0.1954 1.5082 -0.1531 -1.8696 1.1793 0.0788 -0.0603 1.314 -0.6576 0 200 200 150 596.148 578.248 535.969 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"252" 5600008 0 1 0 6 0 -0.3799 -0.3184 -0.7823 -0.0159 -0.1552 0.0477 0.0461 0.5832 1.314 -0.6576 0 200 200 150 615.733 638.027 593.585 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
