"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"228" 75600008 1 1 0 6 0 0.4637 1.4326 -0.7823 0.9445 -2.1007 -0.6576 180 180 180 633.346 645.801 607.111 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"229" 75600008 0 1 2 4 0 -0.6133 0.6818 0.2907 0.4628 -0.3673 1.0346 180 180 135 546.318 558.16 568.141 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"230" 75600008 1 1 0 3 0 0.4637 -0.3184 0.2907 -0.517 -0.8998 1.0346 360 180 180 626.871 641.454 595.383 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"231" 75600008 1 1 0 5 0 -0.9823 2.7249 -0.7823 -0.1246 0.7015 1.0346 225 180 180 605.044 597.512 568.342 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"232" 75600008 0 1 0 6 0 1.8905 0.6653 -0.7823 0.8132 1.314 1.0346 180 225 180 555.542 586.521 561.001 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"235" 75600008 0 1 0 5 0 0.2734 1.4685 -0.7823 0.2604 1.314 0.6402 180 135 180 571.688 650.946 562.394 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"237" 75600008 1 2 2 4 0 -1.0109 1.4685 0.2907 -0.7551 -0.6675 0.3622 225 180 135 511.157 407.141 380.176 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"238" 75600008 1 1 0 6 0 -0.687 0.9423 0.2308 1.5845 1.314 1.0346 360 180 180 585.622 567.618 622.108 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"243" 75600008 0 1 0 5 0 0.1097 1.4326 -0.7823 -0.3892 -1.3119 1.0346 270 180 90 333.107 404.717 395.896 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"244" 75600008 1 2 0 3 1 -0.3498 0.6818 -0.7823 -1.1771 -0.9734 -0.6576 225 225 90 512.092 448.618 471.246 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
